Width,Times
4.561579749913229,0.6668889629876625
4.556616960571101,1.000333444481494
4.556616960571101,1.333777925975325
4.5516294190600615,1.6672224074691564
4.546616877236517,2.000666888962988
4.546616877236517,2.334111370456819
4.536515781250014,2.66755585195065
4.536515781250014,3.0010003334444812
4.526311611075772,3.334444814938313
4.526311611075772,3.6678892964321443
4.516002241416911,4.001333777925976
4.516002241416911,4.3347782594198065
4.510807424539807,4.668222740913638
4.505585480558655,5.001667222407469
4.500336124672511,5.3351117039013
4.495059067571668,5.668556185395132
4.489754015341974,6.0020006668889625
4.484420669366611,6.335445148382794
4.47366787759035,6.668889629876626
4.46824781012101,7.002334111370457
4.46824781012101,7.335778592864289
4.45731873958882,7.669223074358119
4.45180908377785,8.002667555851952
4.446268903402236,8.336112037345782
4.43509560280411,8.669556518839613
4.429461785085854,9.003001000333445
4.4237960475501765,9.336445481827276
4.412367351726554,9.669889963321108
4.406603647009804,10.003334444814937
4.400806529325478,10.336778926308769
4.389110489562286,10.6702234078026
4.377276031915284,11.003667889296432
4.377276031915284,11.337112370790264
4.365299840868568,11.670556852284093
4.353178480336223,12.004001333777925
4.340908387744409,12.337445815271757
4.328485867745852,12.670890296765588
4.315907085538992,13.00433477825942
4.303168059761562,13.337779259753251
4.303168059761562,13.671223741247083
4.28374997390446,14.004668222740914
4.277192573358302,14.338112704234746
4.263947346608281,14.671557185728577
4.2369186742203615,15.005001667222407
4.230045794932599,15.338446148716239
4.223125352088026,15.671890630210068
4.194954475121329,16.005335111703904
4.165966938248077,16.33877959319773
4.143661180733779,16.672224074691563
4.128509375713176,17.005668556185395
4.128509375713176,17.339113037679226
4.128509375713176,17.672557519173058
4.120846502967607,18.00600200066689
4.097499138970616,18.33944648216072
4.049102598108766,18.672890963654552
3.9895105009065204,19.006335445148384
3.9354432796362446,19.339779926642215
3.848431902646615,19.673224408136047
3.775100629561065,20.006668889629875
3.7076593487655325,20.340113371123707
3.6353386871859064,20.673557852617538
3.5840453927983558,21.00700233411137
3.501807294561384,21.3404468156052
3.4121951358716966,21.673891297099033
3.3137550630584443,22.007335778592864
3.165335057940171,22.340780260086696
2.990981670795393,22.674224741580527
2.687299256997171,23.00766922307436
2.249044326066016,23.341113704568187
2.0259007747518063,23.674558186062022
1.961362253614235,24.00800266755585
1.961362253614235,24.341447149049685
1.8182614099735617,24.674891630543513
1.8182614099735617,25.008336112037348
1.8182614099735617,25.341780593531176
1.7382187023000253,25.67522507502501
1.6512073253103954,26.00866955651884
1.6512073253103954,26.34211403801267
1.6512073253103954,26.675558519506502
1.5558971455060706,27.00900300100033
1.4505366298482443,27.342447482494165
1.4505366298482443,27.675891963987993
1.4505366298482443,28.00933644548183
1.4505366298482443,28.342780926975657
1.4505366298482443,28.67622540846949
1.332753594191861,29.00966988996332
1.1992222015673382,29.343114371457155
1.1992222015673382,29.676558852950983
1.1992222015673382,30.010003334444814
1.04507152174008,30.343447815938646
1.04507152174008,30.676892297432477
1.04507152174008,31.01033677892631
0.6396064136319155,31.343781260420137
0.8627499649461252,31.677225741913972
0.8627499649461252,32.01067022340781
0.6396064136319155,32.344114704901635
0.6396064136319155,32.67755918639546
0.6396064136319155,33.0110036678893
0.6396064136319155,33.344448149383126
0.6396064136319155,33.677892630876954
0.6396064136319155,34.01133711237079
0.6396064136319155,34.344781593864624
0.3519243411801346,34.67822607535845
-0.0535407669280298,35.01167055685228
-0.0535407669280298,36.01200400133378
0.3519243411801346,36.34544848282761
0.3519243411801346,36.67889296432144
0.3519243411801346,37.01233744581527
0.3519243411801346,37.345781927309105
0.3519243411801346,37.67922640880293
-0.0535407669280298,38.01267089029677
-0.0535407669280298,38.346115371790596
-0.0535407669280298,38.67955985328443
-0.0535407669280298,39.01300433477826
-0.0535407669280298,39.346448816272094
-0.0535407669280298,39.67989329776592
-0.0535407669280298,40.01333777925975
-0.7466879474879751,40.346782260753585
-0.7466879474879751,40.68022674224741
-0.7466879474879751,41.01367122374125
-0.7466879474879751,41.347115705235076
-0.7466879474879751,41.68056018672891
-0.7466879474879751,42.01400466822274
